match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,0.1,Chennai Super Kings,Gujarat Titans,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,0.2,Chennai Super Kings,Gujarat Titans,DP Conway,RD Gaikwad,Mohammed Shami,0,1,,,,1.0,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,0.3,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,0.4,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,Mohammed Shami,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,0.5,Chennai Super Kings,Gujarat Titans,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,0.6,Chennai Super Kings,Gujarat Titans,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,1.1,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,HH Pandya,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,1.2,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,HH Pandya,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,1.3,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,HH Pandya,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,1.4,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,HH Pandya,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,1.5,Chennai Super Kings,Gujarat Titans,DP Conway,RD Gaikwad,HH Pandya,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,1.6,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,HH Pandya,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,2.1,Chennai Super Kings,Gujarat Titans,RD Gaikwad,DP Conway,Mohammed Shami,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,2.2,Chennai Super Kings,Gujarat Titans,DP Conway,RD Gaikwad,Mohammed Shami,0,0,,,,,,bowled,DP Conway,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,2.3,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,2.4,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,2.5,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,2.6,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,3.1,Chennai Super Kings,Gujarat Titans,RD Gaikwad,MM Ali,J Little,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,3.2,Chennai Super Kings,Gujarat Titans,RD Gaikwad,MM Ali,J Little,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,3.3,Chennai Super Kings,Gujarat Titans,RD Gaikwad,MM Ali,J Little,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,3.4,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,J Little,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,3.5,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,J Little,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,3.6,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,J Little,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.1,Chennai Super Kings,Gujarat Titans,RD Gaikwad,MM Ali,Mohammed Shami,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.2,Chennai Super Kings,Gujarat Titans,RD Gaikwad,MM Ali,Mohammed Shami,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.3,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.4,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,0,1,,1.0,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.5,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.6,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,4.7,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Mohammed Shami,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,5.1,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Rashid Khan,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,5.2,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Rashid Khan,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,5.3,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Rashid Khan,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,5.4,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Rashid Khan,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,5.5,Chennai Super Kings,Gujarat Titans,MM Ali,RD Gaikwad,Rashid Khan,0,0,,,,,,caught,MM Ali,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,5.6,Chennai Super Kings,Gujarat Titans,BA Stokes,RD Gaikwad,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,6.1,Chennai Super Kings,Gujarat Titans,BA Stokes,RD Gaikwad,HH Pandya,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,6.2,Chennai Super Kings,Gujarat Titans,BA Stokes,RD Gaikwad,HH Pandya,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,6.3,Chennai Super Kings,Gujarat Titans,RD Gaikwad,BA Stokes,HH Pandya,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,6.4,Chennai Super Kings,Gujarat Titans,RD Gaikwad,BA Stokes,HH Pandya,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,6.5,Chennai Super Kings,Gujarat Titans,RD Gaikwad,BA Stokes,HH Pandya,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,6.6,Chennai Super Kings,Gujarat Titans,RD Gaikwad,BA Stokes,HH Pandya,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,7.1,Chennai Super Kings,Gujarat Titans,BA Stokes,RD Gaikwad,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,7.2,Chennai Super Kings,Gujarat Titans,RD Gaikwad,BA Stokes,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,7.3,Chennai Super Kings,Gujarat Titans,BA Stokes,RD Gaikwad,Rashid Khan,4,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,7.4,Chennai Super Kings,Gujarat Titans,BA Stokes,RD Gaikwad,Rashid Khan,0,0,,,,,,caught,BA Stokes,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,7.5,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,7.6,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,8.1,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,AS Joseph,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,8.2,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,AS Joseph,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,8.3,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,AS Joseph,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,8.4,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,AS Joseph,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,8.5,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,AS Joseph,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,8.6,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,AS Joseph,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,9.1,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,Rashid Khan,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,9.2,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,9.3,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,9.4,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,Rashid Khan,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,9.5,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,Rashid Khan,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,9.6,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,Rashid Khan,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,10.1,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,J Little,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,10.2,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,J Little,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,10.3,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,J Little,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,10.4,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,J Little,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,10.5,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,J Little,0,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,10.6,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,J Little,6,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,11.1,Chennai Super Kings,Gujarat Titans,AT Rayudu,RD Gaikwad,Yash Dayal,1,0,,,,,,,,,
1359475,2023,2023-03-31,"Narendra Modi Stadium, Ahmedabad",1,11.2,Chennai Super Kings,Gujarat Titans,RD Gaikwad,AT Rayudu,Yash Dayal,0,0,,,,,,,,,
